Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
132,0.3776,0.4038,0.8293,0.8211,0.9063,0.897,0.8013,0.7758,0.8369,0.8347,0.8757,0.9032,0.8869,0.8645,0.8869,0.8645
133,0.3792,0.3999,0.8273,0.8249,0.9051,0.8974,0.798,0.79,0.8353,0.8348,0.8763,0.8849,0.883,0.8635,0.883,0.8635
134,0.3812,0.3969,0.83,0.8259,0.9046,0.8963,0.802,0.7966,0.8375,0.8341,0.8764,0.8752,0.8842,0.8653,0.8842,0.8653
135,0.378,0.4016,0.8303,0.8243,0.9059,0.8955,0.8013,0.79,0.8381,0.8342,0.8784,0.8836,0.8853,0.861,0.8854,0.8611
136,0.3856,0.3995,0.8253,0.8257,0.9023,0.8973,0.7971,0.7878,0.8332,0.8364,0.8728,0.8913,0.8806,0.8652,0.8806,0.8652
137,0.3765,0.3996,0.8326,0.8248,0.9068,0.898,0.804,0.8165,0.8402,0.827,0.8798,0.8378,0.8862,0.8645,0.8862,0.8646
138,0.3772,0.4037,0.8318,0.8252,0.9061,0.8966,0.8032,0.7837,0.8394,0.8371,0.8789,0.8984,0.8843,0.8614,0.8843,0.8615
139,0.3761,0.4,0.831,0.8229,0.907,0.8969,0.8023,0.7807,0.8386,0.8353,0.8785,0.8982,0.8862,0.8628,0.8862,0.8629
140,0.3763,0.3999,0.831,0.8249,0.9069,0.8964,0.8016,0.7997,0.8388,0.8319,0.8797,0.8669,0.8867,0.8631,0.8867,0.8631
141,0.3646,0.3928,0.8378,0.8279,0.9126,0.8999,0.8099,0.8014,0.8448,0.8351,0.8828,0.8717,0.8932,0.867,0.8932,0.8671
142,0.3606,0.3938,0.8387,0.8296,0.9143,0.9015,0.81,0.7916,0.8459,0.8401,0.885,0.8949,0.8954,0.8673,0.8954,0.8674
143,0.3583,0.3906,0.8403,0.8284,0.9154,0.9013,0.8113,0.8025,0.8474,0.8355,0.8869,0.8713,0.8968,0.8679,0.8968,0.868
