Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
93,0.3122,0.3217,0.8696,0.8722,0.9349,0.9314,0.8388,0.8405,0.8752,0.8778,0.915,0.9186,0.9167,0.9062,0.9167,0.9062
94,0.3122,0.3216,0.8696,0.8726,0.9347,0.9324,0.8388,0.8371,0.8752,0.879,0.915,0.9253,0.9168,0.908,0.9168,0.908
95,0.3113,0.3207,0.8707,0.8732,0.9348,0.9324,0.8395,0.8346,0.8764,0.8801,0.9166,0.9308,0.916,0.9077,0.916,0.9077
96,0.3126,0.321,0.8709,0.8736,0.9345,0.9322,0.8401,0.8406,0.8765,0.8794,0.9163,0.922,0.9155,0.9067,0.9155,0.9067
97,0.3098,0.3233,0.8708,0.8737,0.9356,0.932,0.8398,0.8439,0.8764,0.8789,0.9163,0.9169,0.9177,0.9066,0.9177,0.9067
98,0.3097,0.3188,0.8712,0.8742,0.9356,0.9324,0.8404,0.8412,0.8768,0.8799,0.9165,0.9224,0.9175,0.908,0.9175,0.908
99,0.3088,0.3198,0.8715,0.8739,0.9361,0.932,0.8406,0.8385,0.8771,0.8802,0.9169,0.9263,0.9176,0.9064,0.9176,0.9064
100,0.3073,0.3194,0.8737,0.8742,0.9367,0.9323,0.8427,0.8425,0.8791,0.8798,0.9189,0.9205,0.9185,0.9077,0.9185,0.9077
101,0.3054,0.322,0.8734,0.8736,0.9373,0.9325,0.8426,0.845,0.8789,0.8786,0.9184,0.9151,0.9197,0.9064,0.9197,0.9064
102,0.3064,0.3192,0.8732,0.8728,0.9372,0.9333,0.8425,0.8487,0.8787,0.8771,0.9181,0.9074,0.9194,0.9095,0.9194,0.9095
103,0.3074,0.3141,0.8726,0.8742,0.9367,0.9339,0.8417,0.8432,0.8781,0.8796,0.9178,0.9193,0.919,0.9101,0.919,0.9101
104,0.3052,0.3237,0.8735,0.8751,0.9374,0.9325,0.8429,0.8339,0.8789,0.8824,0.9182,0.9369,0.9201,0.9064,0.9201,0.9064
105,0.3051,0.3178,0.8727,0.8747,0.9373,0.9338,0.8422,0.848,0.8781,0.8793,0.9173,0.9131,0.9202,0.9098,0.9202,0.9098
106,0.3039,0.3215,0.8738,0.8758,0.9379,0.9326,0.8429,0.8466,0.8792,0.8808,0.9188,0.918,0.9204,0.907,0.9204,0.907
107,0.3049,0.3184,0.8734,0.8779,0.9376,0.9335,0.8426,0.8447,0.8788,0.8836,0.9184,0.9262,0.9199,0.9084,0.9199,0.9084
108,0.3041,0.3229,0.8739,0.8753,0.938,0.9335,0.8432,0.8388,0.8793,0.8817,0.9186,0.9291,0.9207,0.9086,0.9207,0.9086
109,0.303,0.3194,0.8747,0.876,0.9383,0.9338,0.8442,0.8437,0.8801,0.8816,0.9191,0.923,0.921,0.9096,0.921,0.9096
110,0.3021,0.3195,0.8755,0.8732,0.9387,0.9334,0.8445,0.8531,0.8808,0.8768,0.9204,0.9018,0.9213,0.9081,0.9213,0.9081
111,0.3017,0.3218,0.8754,0.8757,0.9387,0.9331,0.8453,0.8437,0.8806,0.8813,0.9188,0.9224,0.921,0.9088,0.921,0.9088
112,0.3011,0.3197,0.8755,0.8756,0.9391,0.9334,0.845,0.8457,0.8807,0.8808,0.9195,0.9189,0.9219,0.9104,0.9219,0.9104
113,0.3016,0.319,0.8754,0.8747,0.939,0.9329,0.8448,0.8448,0.8807,0.8799,0.9198,0.918,0.9222,0.9094,0.9222,0.9094
114,0.299,0.317,0.8769,0.877,0.9399,0.9347,0.8463,0.8406,0.8821,0.8833,0.9211,0.9305,0.9233,0.9109,0.9233,0.9109
115,0.3,0.3176,0.8756,0.8777,0.9396,0.9336,0.8455,0.8427,0.8808,0.8836,0.9191,0.9287,0.9229,0.9091,0.9229,0.9091
116,0.2999,0.322,0.8764,0.8775,0.9395,0.9339,0.8458,0.8449,0.8816,0.8831,0.9206,0.9248,0.9224,0.9099,0.9224,0.9099
117,0.2997,0.3186,0.8759,0.8757,0.9398,0.934,0.8451,0.8487,0.8812,0.8804,0.9206,0.9144,0.923,0.91,0.923,0.91
118,0.298,0.319,0.8768,0.8766,0.94,0.9341,0.8462,0.8513,0.882,0.8808,0.921,0.9125,0.9235,0.9082,0.9235,0.9082
119,0.2978,0.3184,0.8779,0.8767,0.9404,0.9337,0.8473,0.8431,0.883,0.8825,0.9219,0.9257,0.9236,0.908,0.9236,0.908
120,0.2966,0.3107,0.8787,0.8793,0.9408,0.9356,0.8488,0.8412,0.8837,0.8857,0.9215,0.9351,0.9244,0.9127,0.9244,0.9128
121,0.2984,0.3132,0.8772,0.8771,0.94,0.9348,0.846,0.8484,0.8825,0.8819,0.9223,0.9182,0.923,0.9115,0.923,0.9115
122,0.2974,0.3184,0.8772,0.877,0.9406,0.9345,0.8473,0.8481,0.8822,0.8819,0.9202,0.9185,0.9247,0.9102,0.9247,0.9102
123,0.2967,0.3135,0.8782,0.8785,0.9408,0.9351,0.8479,0.8525,0.8833,0.8828,0.9218,0.9154,0.9242,0.9101,0.9242,0.9101
124,0.2967,0.3137,0.8784,0.8804,0.9409,0.936,0.8481,0.8487,0.8835,0.8856,0.922,0.9259,0.9241,0.9121,0.9241,0.9121
125,0.2965,0.3152,0.8784,0.8783,0.9408,0.9349,0.8485,0.8483,0.8834,0.8833,0.9213,0.9215,0.9244,0.9114,0.9244,0.9114
126,0.294,0.3091,0.8798,0.8804,0.9418,0.9361,0.8496,0.8475,0.8847,0.8859,0.9229,0.9278,0.9258,0.9123,0.9258,0.9124
127,0.2955,0.3188,0.8783,0.8775,0.9412,0.936,0.8475,0.8372,0.8834,0.8844,0.9225,0.9374,0.9248,0.9118,0.9248,0.9118
